idSekolah,kodeSekolah,komiteId,kepsekId,operatorId,namaSekolah,emailSekolah,status,alamat,kecamatan,kodePos,telpon,nss,instansiPemberiIzin,nomorSuratIzin,tglSuratIzin,akreditasi,angkaAkreditasi,tahuAkreditasi,lembagaMeaungi,subRayon
2342,35-0001,,,,SD NEGERI DANARAJA 01,sdndanaraja01@gmail.com,Negeri,Jl. Kali Kumisik Karangmangu Desa Danaraja,Margasari,52463,0,101032801013,DINAS P DAN K PROPINSI JAWA TENGAH,421.2/025/ /41/1985,1 AGUSTUS 1985,B,85,2021,KEMDIKBUD,1
2343,35-0002,,,,SD NEGERI DANARAJA 02,danaraja02@yahoo.com,Negeri,Jl. Panembahan Danaraja,Margasari,52463,85326845003,101032801041,,421.2/14/1984,29/02/84,A,0,2016,,1
2344,35-0003,,,,SD NEGERI DUKUH TENGAH 01,dukuhtengahkrajan01@gmail.com,NEGERI,JALAN KRAJAN DESA DUKUHTENGAH KECAMATAN MARGASARI KABUPATEN TEGAL,Margasari,52463,0,101032801015,Dinas Dikbud Kabupaten Tegal,421.2/025/ /41/1985,01/08/85,B,83,2018,Dinas Dikbud Kabupaten Tegal,1
2345,35-0004,,,,SD NEGERI DUKUH TENGAH 02,sdn_dukuhtengah02@yahoo.com,Negeri,Dukuhtengah Kebantingan Rt.01 Rw.05 Kec. Margasari Kab. Tegal,Margasari,52463,0,101032801026,,,,A,92,2018,,1
2346,35-0005,,,,SD NEGERI DUKUH TENGAH 03,sdndkt03@gmail.com,Negeri,Jl. Lapangan Gotong Royong Desa Dukuhtengah timur Kec. Margasari Kab. Tegal,Margasari,52463,81326910199,101032801035,,,,B,86,2020,,1
2347,35-0006,,,,SD NEGERI DUKUH TENGAH 04,sdndukuhtengah04123@yahoo.com,Negeri,Jalan:Lapangan Gotong Royong Desa Dukuhtengah Rt 05 Rw 01 Kode Pos: 52463,Margasari,52463,82325678657,101032801049,PEMERINTAH KABUPATEN TEGAL,,,A,86,2016,DINAS DIKBUD,1
2348,35-0007,,,,SD NEGERI JATILABA 01,jatilaba01@gmail.com,Negeri,JATILABA RT 03 RW 08 KECAMATAN MARGASARI KABUPATEN TEGAL,Margasari,52463,85742878341,101032801007,,,,A,91,2019,,1
2349,35-0008,,,,SD NEGERI JATILABA 02,sdn.jatilaba02@gmail.com,Negeri,JALAN BALADEWA DUKUHWANALABA DESA JATILABA,Margasari,52463,0,101032801023,,,,A,91,2016,,1
2350,35-0009,,,,SD NEGERI JATILABA 03,sdnjatilaba03@gmail.com,Negeri,"Jl. Raya Margasari-Jatibarang Km5, Desa Jatilaba, Kec. Margasari Kab. Tegal",Margasari,52463,85325355836,101032801030,GUBERNUR JAWA TENGAH,421./025/ /41/1985,1 AGUSTUS 1985,B,87,2018,DINAS DIKBUD KAB. TEGAL,1
2351,35-0010,,,,SD NEGERI JATILABA 04,jatilabaempatsdn@yahoo.co.id,Negeri,Jl. Keplik No. 01,Margasari,52463,81931798914,101032801038,DINAS P DAN K PROPINSI DAERAH TINGKAT I JAWA TENGAH,421.2/025/41/1985,1 Agustus 1985,A,91,2021,DINAS P DAN K PROPINSI DAERAH TINGKAT I JAWA TENGAH,1
2352,35-0011,,,,SD NEGERI JEMBAYAT 01,sdnjembayat01@gmail.com,Negeri,Jl. Raya Tegal Purwokerto No 1,Margasari,52463,87830061660,101032801002,,,,B,0,2020,,1
2353,35-0012,,,,SD NEGERI JEMBAYAT 02,sdn2jembayat@gmail.com,Negeri,Jln. Kyai Abdul Jalil Desa Jembayat,Margasari,52463,85325287477,101032801019,DINAS P DAN K PROV. JAWA TENGAH,,27/11/1973,B,85,2017,KEMENDIKBUD,1
2354,35-0013,,,,SD NEGERI JEMBAYAT 03,sdnjembayattiga@gmail.com,Negeri,,Margasari,52463,0,0,,,,A,86,2014,,1
2355,35-0014,,,,SD NEGERI JEMBAYAT 04,JEMBAYAT4@GMAIL.COM,Negeri,Jl Danaraja- Jembayat RT 05 RW 05 Desa Jembayat,Margasari,52463,0,101032801033,,,,B,83,2021,,1
